date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,dividend_yield,PER,PBR,Volume,BuyAmount,SellAmount,0,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio
2017-01-03,23550783.0,4300648272.0,181.5,183.5,181.0,183.0,1.5,8743.0,3.28,15.47,3.7,113000.0,20564500.0,20627500.0,78112022000.0,269.0,0.0,6482595.0,941.0,13308.0,13980.0,30.0,39.0,0.0,6482595.0,100.0,5174.0,5113.0,5513022528,20417357930,21.26,78.73,100.0,100.0
2017-01-04,24482374.0,4478699942.0,183.0,184.0,181.5,183.0,0.0,8476.0,3.28,15.47,3.7,731000.0,133192000.0,133903500.0,78112022000.0,255.0,5.0,6482595.0,319.0,13239.0,13308.0,76.0,18.0,0.0,6482595.0,115.0,5271.0,5174.0,5517128765,20413251693,21.27,78.72,100.0,100.0
2017-01-05,21373561.0,3913389163.0,182.0,183.5,181.5,183.5,0.5,8297.0,3.27,15.51,3.71,368000.0,67314500.0,67445000.0,78112022000.0,307.0,11.0,6482595.0,298.0,13237.0,13239.0,26.0,38.0,1.0,6482595.0,26.0,5258.0,5271.0,5513254008,20417126450,21.26,78.73,100.0,100.0
2017-01-06,23120808.0,4250912732.0,184.0,184.5,183.5,184.0,0.5,9659.0,3.26,15.55,3.72,300000.0,55213000.0,55199500.0,78112022000.0,181.0,6.0,6482595.0,227.0,13185.0,13237.0,9.0,18.0,0.0,6482595.0,48.0,5288.0,5258.0,5509376419,20421004039,21.24,78.75,100.0,100.0
2017-01-09,18583788.0,3419409204.0,184.0,185.0,183.0,184.0,0.0,5759.0,3.26,15.55,3.72,493000.0,90841000.0,90736500.0,78112022000.0,308.0,11.0,6482595.0,368.0,13114.0,13185.0,34.0,35.0,0.0,6482595.0,82.0,5335.0,5288.0,5506002982,20424377476,21.23,78.76,100.0,100.0
2017-01-10,20691305.0,3811496280.0,184.5,185.5,183.5,184.0,0.0,7831.0,3.26,15.55,3.72,541000.0,99726500.0,99605500.0,78112022000.0,241.0,0.0,6482595.0,419.0,12936.0,13114.0,17.0,51.0,1.0,6482595.0,36.0,5319.0,5335.0,5502539917,20427840541,21.22,78.77,100.0,100.0
2017-01-11,29747168.0,5438136536.0,185.0,185.0,181.5,182.0,-2.0,10509.0,3.3,15.38,3.68,498000.0,91190500.0,90876500.0,78112022000.0,730.0,6.0,6482595.0,274.0,13386.0,12936.0,25.0,104.0,0.0,6482595.0,51.0,5266.0,5319.0,5511414642,20418965816,21.25,78.74,100.0,100.0
2017-01-12,48599502.0,8959263194.0,182.5,185.5,182.5,184.5,2.5,13220.0,3.25,15.6,3.73,989000.0,181421000.0,182314500.0,78112022000.0,305.0,7.0,6482595.0,1089.0,12595.0,13386.0,28.0,60.0,0.0,6482595.0,698.0,5904.0,5266.0,5499323539,20431056919,21.2,78.79,100.0,100.0
2017-01-13,53089358.0,9622624651.0,180.5,182.5,180.5,181.5,-3.0,16366.0,3.31,15.34,3.67,2757000.0,498910500.0,500240000.0,78112022000.0,1466.0,1.0,6482595.0,926.0,13134.0,12595.0,118.0,755.0,0.0,6482595.0,44.0,5193.0,5904.0,5511652266,20418728192,21.25,78.74,100.0,100.0
2017-01-16,30878049.0,5545432320.0,180.0,180.5,179.0,179.5,-2.0,13441.0,3.34,15.17,3.63,251000.0,45073000.0,45065500.0,78112022000.0,1204.0,3.0,6482595.0,210.0,14125.0,13134.0,50.0,242.0,0.0,6482595.0,38.0,4989.0,5193.0,5526143347,20404237111,21.31,78.68,100.0,100.0
